ticker,name_cn,date,close,turnover_rate
801080.SL,电子,2025-06-06,4387.09,7.1117
801080.SL,电子,2025-06-13,4302.78,9.8483
801080.SL,电子,2025-06-20,4343.82,10.1895
801080.SL,电子,2025-06-27,4544.26,13.9343
801080.SL,电子,2025-07-04,4577.83,14.4769
801080.SL,电子,2025-07-11,4620.38,12.3765
801080.SL,电子,2025-07-18,4719.71,11.8835
801080.SL,电子,2025-07-25,4854.41,11.6228
801080.SL,电子,2025-08-01,4867.86,13.7805
801080.SL,电子,2025-08-08,4948.23,13.5262
801080.SL,电子,2025-08-15,5295.44,17.3747
801080.SL,电子,2025-08-22,5769.27,24.0591
801080.SL,电子,2025-08-29,6131.74,28.1311
801080.SL,电子,2025-09-05,5851.75,22.8091
801080.SL,电子,2025-09-12,6211.61,18.5203
801080.SL,电子,2025-09-19,6395.36,21.6315
801080.SL,电子,2025-09-26,6620.15,22.6426
801080.SL,电子,2025-09-30,6803.98,7.3358
801080.SL,电子,2025-10-10,6624.84,8.9936
801080.SL,电子,2025-10-17,6152.03,16.9908
801080.SL,电子,2025-10-24,6674.42,13.7997
801080.SL,电子,2025-10-31,6563.99,17.1842
801080.SL,电子,2025-11-07,6557.77,13.1187
801080.SL,电子,2025-11-14,6245.14,13.7468
801080.SL,电子,2025-11-21,5877.4,12.681
801080.SL,电子,2025-11-28,6232.95,13.2194
801080.SL,电子,2025-12-05,6300.64,16.0198
801080.SL,电子,2025-12-12,6466.55,16.9497
801080.SL,电子,2025-12-19,6254.54,12.9394
801080.SL,电子,2025-12-26,6564.94,13.7628
801080.SL,电子,2025-12-31,6554.19,8.4658
801080.SL,电子,2026-01-09,7061.21,20.3907
801080.SL,电子,2026-01-16,7327.72,22.6089
801080.SL,电子,2026-01-23,7429.7,20.4908
801080.SL,电子,2026-01-30,7242.89,20.3683
801080.SL,电子,2026-02-06,6864.1,14.4874
801080.SL,电子,2026-02-13,7105.44,12.3241
801080.SL,电子,2026-02-27,7394.47,13.1548
801080.SL,电子,2026-03-06,7019.35,17.9224
801080.SL,电子,2026-03-13,6933.27,16.4067
801080.SL,电子,2026-03-20,6736.02,15.3138
801080.SL,电子,2026-03-27,6595.34,14.4917
801080.SL,电子,2026-04-03,6403.01,11.9455
801080.SL,电子,2026-04-10,7084.19,12.369
801080.SL,电子,2026-04-17,7505.69,16.3447
801080.SL,电子,2026-04-24,7738.79,20.0043
801080.SL,电子,2026-04-30,8108.69,15.6395
801080.SL,电子,2026-05-08,8597.9,13.7465
801080.SL,电子,2026-05-15,9002.21,25.2042
801080.SL,电子,2026-05-22,9592.34,27.7796
801080.SL,电子,2026-05-29,9558.91,35.4829
801080.SL,电子,2026-06-05,9480.93,32.3698
801080.SL,电子,2026-06-12,9303.78,29.1628
